n_hidden_layers,units,regularization,dropout_rate,val_accuracy,val_top_2_accuracy,Val_History
1,64,,0.0,0.48159998655319214,0.6840999722480774,"{'accuracy': [0.34984999895095825, 0.432574987411499, 0.46722498536109924, 0.49457499384880066, 0.5139250159263611, 0.5313000082969666, 0.5446249842643738, 0.5572249889373779, 0.5625, 0.5737500190734863, 0.5807999968528748, 0.5886750221252441, 0.5944749712944031, 0.6032999753952026, 0.6098250150680542], 'loss': [2.0987462997436523, 1.6956130266189575, 1.541696548461914, 1.456497311592102, 1.3940006494522095, 1.3433458805084229, 1.3113582134246826, 1.2726753950119019, 1.2458568811416626, 1.2226577997207642, 1.1997172832489014, 1.1771955490112305, 1.1592103242874146, 1.139709234237671, 1.1224627494812012], 'top_2_accuracy': [0.5430750250816345, 0.6340500116348267, 0.6699000000953674, 0.6945499777793884, 0.7118250131607056, 0.7267000079154968, 0.7383000254631042, 0.7494500279426575, 0.7571750283241272, 0.7638000249862671, 0.7690500020980835, 0.7762249708175659, 0.78267502784729, 0.7905250191688538, 0.7938249707221985], 'val_accuracy': [0.40400001406669617, 0.4228000044822693, 0.4101000130176544, 0.4575999975204468, 0.446399986743927, 0.47609999775886536, 0.447299987077713, 0.4629000127315521, 0.4821000099182129, 0.48590001463890076, 0.49300000071525574, 0.47360000014305115, 0.48420000076293945, 0.49720001220703125, 0.48159998655319214], 'val_loss': [1.7992331981658936, 1.728492021560669, 1.7225595712661743, 1.60775625705719, 1.6427738666534424, 1.5298752784729004, 1.6411163806915283, 1.6120892763137817, 1.5403796434402466, 1.5274839401245117, 1.517791509628296, 1.569417119026184, 1.5606542825698853, 1.519588828086853, 1.5934898853302002], 'val_top_2_accuracy': [0.597000002861023, 0.6276999711990356, 0.6193000078201294, 0.6640999913215637, 0.6527000069618225, 0.6819999814033508, 0.6600000262260437, 0.6560999751091003, 0.6812000274658203, 0.6866000294685364, 0.689300000667572, 0.682200014591217, 0.6804999709129333, 0.7026000022888184, 0.6840999722480774]}"
1,64,,0.3,0.48579999804496765,0.6862000226974487,"{'accuracy': [0.2997249960899353, 0.36934998631477356, 0.4028500020503998, 0.42225000262260437, 0.4387750029563904, 0.4484249949455261, 0.45442500710487366, 0.4640499949455261, 0.46752500534057617, 0.4745999872684479, 0.4765250086784363, 0.48524999618530273, 0.48662498593330383, 0.48532500863075256, 0.49172499775886536], 'loss': [2.2783286571502686, 1.853654146194458, 1.7076972723007202, 1.637024164199829, 1.5959383249282837, 1.5661191940307617, 1.5417609214782715, 1.5216612815856934, 1.5085748434066772, 1.4867583513259888, 1.4775735139846802, 1.4633561372756958, 1.4485965967178345, 1.4449377059936523, 1.4331203699111938], 'top_2_accuracy': [0.4835500121116638, 0.5696250200271606, 0.6102749705314636, 0.6287999749183655, 0.6421250104904175, 0.6513749957084656, 0.661899983882904, 0.668025016784668, 0.6714749932289124, 0.6796249747276306, 0.6859999895095825, 0.6895999908447266, 0.6937999725341797, 0.6921749711036682, 0.7011749744415283], 'val_accuracy': [0.34860000014305115, 0.41449999809265137, 0.43560001254081726, 0.4528999924659729, 0.4593999981880188, 0.4684999883174896, 0.4629000127315521, 0.483599990606308, 0.47589999437332153, 0.4781000018119812, 0.4722999930381775, 0.48840001225471497, 0.4909999966621399, 0.4977000057697296, 0.48579999804496765], 'val_loss': [1.9045835733413696, 1.6703709363937378, 1.5952328443527222, 1.5568479299545288, 1.5307389497756958, 1.5171148777008057, 1.5168852806091309, 1.4643527269363403, 1.4986357688903809, 1.4773508310317993, 1.4897241592407227, 1.4627034664154053, 1.4468098878860474, 1.4424766302108765, 1.463104248046875], 'val_top_2_accuracy': [0.5472000241279602, 0.6229000091552734, 0.6412000060081482, 0.6599000096321106, 0.6693000197410583, 0.6761999726295471, 0.6694999933242798, 0.6927000284194946, 0.6866000294685364, 0.6920999884605408, 0.6843000054359436, 0.6934000253677368, 0.6992999911308289, 0.7038999795913696, 0.6862000226974487]}"
1,64,,0.5,0.4729999899864197,0.6780999898910522,"{'accuracy': [0.26112499833106995, 0.32292500138282776, 0.36047500371932983, 0.3785000145435333, 0.39070001244544983, 0.3974500000476837, 0.40529999136924744, 0.40610000491142273, 0.41382500529289246, 0.41484999656677246, 0.42160001397132874, 0.4213249981403351, 0.4246250092983246, 0.4268749952316284, 0.430774986743927], 'loss': [2.472254991531372, 1.9958587884902954, 1.8238993883132935, 1.7546591758728027, 1.7189275026321411, 1.697756052017212, 1.6815892457962036, 1.6689808368682861, 1.653846263885498, 1.6456726789474487, 1.628238320350647, 1.6242058277130127, 1.6189302206039429, 1.6092675924301147, 1.6008323431015015], 'top_2_accuracy': [0.43274998664855957, 0.5174999833106995, 0.5612499713897705, 0.5784249901771545, 0.5951499938964844, 0.603950023651123, 0.6093999743461609, 0.6148250102996826, 0.6212499737739563, 0.621999979019165, 0.6296250224113464, 0.6317750215530396, 0.6331250071525574, 0.6367250084877014, 0.6424000263214111], 'val_accuracy': [0.32589998841285706, 0.39079999923706055, 0.4207000136375427, 0.4442000091075897, 0.43799999356269836, 0.4325000047683716, 0.4521999955177307, 0.44769999384880066, 0.4577000141143799, 0.46630001068115234, 0.4643000066280365, 0.46540001034736633, 0.4717999994754791, 0.4677000045776367, 0.4729999899864197], 'val_loss': [2.144469738006592, 1.722213864326477, 1.6281696557998657, 1.5881036520004272, 1.5806217193603516, 1.582748293876648, 1.5586216449737549, 1.5633524656295776, 1.5350888967514038, 1.5314216613769531, 1.5211272239685059, 1.525734543800354, 1.511351466178894, 1.5137407779693604, 1.4916492700576782], 'val_top_2_accuracy': [0.5181000232696533, 0.5985999703407288, 0.6306999921798706, 0.6516000032424927, 0.654699981212616, 0.6506999731063843, 0.6597999930381775, 0.6632000207901001, 0.6711999773979187, 0.6675000190734863, 0.6740999817848206, 0.6718000173568726, 0.6771000027656555, 0.6764000058174133, 0.6780999898910522]}"
1,64,l1,0.0,0.40880000591278076,0.6136000156402588,"{'accuracy': [0.3413749933242798, 0.3709999918937683, 0.376675009727478, 0.3938249945640564, 0.40367498993873596, 0.40709999203681946, 0.4145750105381012, 0.4130750000476837, 0.41827499866485596, 0.4172999858856201, 0.41679999232292175, 0.42102500796318054, 0.4206250011920929, 0.4207000136375427, 0.42320001125335693], 'loss': [4.4645304679870605, 2.4363861083984375, 2.2044363021850586, 2.10954213142395, 2.0575177669525146, 2.0308029651641846, 2.0119411945343018, 2.0013375282287598, 1.9923814535140991, 1.9894341230392456, 1.9852765798568726, 1.9775081872940063, 1.9736511707305908, 1.9744254350662231, 1.9656099081039429], 'top_2_accuracy': [0.5278499722480774, 0.5683749914169312, 0.5791749954223633, 0.5963000059127808, 0.6016749739646912, 0.6100749969482422, 0.6168249845504761, 0.6203250288963318, 0.6226249933242798, 0.6205250024795532, 0.6190500259399414, 0.6250249743461609, 0.6245999932289124, 0.6247249841690063, 0.6257500052452087], 'val_accuracy': [0.35420000553131104, 0.31360000371932983, 0.3763999938964844, 0.3935000002384186, 0.353300005197525, 0.40299999713897705, 0.415800005197525, 0.40369999408721924, 0.4056999981403351, 0.40369999408721924, 0.4049000144004822, 0.40049999952316284, 0.4077000021934509, 0.4271000027656555, 0.40880000591278076], 'val_loss': [2.953183650970459, 2.4320905208587646, 2.1936147212982178, 2.0682215690612793, 2.1777052879333496, 2.0193047523498535, 2.0104012489318848, 2.005235433578491, 2.0367040634155273, 1.9847009181976318, 1.9950672388076782, 2.0274338722229004, 2.003396511077881, 1.9459582567214966, 1.9961999654769897], 'val_top_2_accuracy': [0.5496000051498413, 0.5235999822616577, 0.5794000029563904, 0.6025999784469604, 0.5752999782562256, 0.6053000092506409, 0.6208000183105469, 0.6171000003814697, 0.6079999804496765, 0.6262999773025513, 0.6122999787330627, 0.6186000108718872, 0.6144999861717224, 0.6337000131607056, 0.6136000156402588]}"
1,64,l1,0.3,0.3837999999523163,0.6044999957084656,"{'accuracy': [0.2954249978065491, 0.322050005197525, 0.3289499878883362, 0.33320000767707825, 0.34082499146461487, 0.3404749929904938, 0.3422999978065491, 0.34435001015663147, 0.3492499887943268, 0.34687501192092896, 0.34652501344680786, 0.35087499022483826, 0.3531000018119812, 0.35112500190734863, 0.3533250093460083], 'loss': [4.58151388168335, 2.4862122535705566, 2.3023200035095215, 2.252925395965576, 2.217240333557129, 2.196166515350342, 2.183926820755005, 2.173307180404663, 2.1652235984802246, 2.1707346439361572, 2.162490129470825, 2.1542274951934814, 2.149993658065796, 2.1486217975616455, 2.142218828201294], 'top_2_accuracy': [0.48342499136924744, 0.5141000151634216, 0.5239499807357788, 0.5284749865531921, 0.5388249754905701, 0.543749988079071, 0.5454750061035156, 0.5425999760627747, 0.550125002861023, 0.5482000112533569, 0.5486249923706055, 0.5525500178337097, 0.5560749769210815, 0.5544499754905701, 0.5568749904632568], 'val_accuracy': [0.31529998779296875, 0.34689998626708984, 0.3190000057220459, 0.3637000024318695, 0.3790000081062317, 0.37529999017715454, 0.38269999623298645, 0.34369999170303345, 0.3653999865055084, 0.3736000061035156, 0.36820000410079956, 0.3882000148296356, 0.3804999887943268, 0.3749000132083893, 0.3837999999523163], 'val_loss': [2.8136541843414307, 2.2522270679473877, 2.377542018890381, 2.168316125869751, 2.1462724208831787, 2.1206789016723633, 2.106552839279175, 2.2256808280944824, 2.1099636554718018, 2.1214020252227783, 2.1097402572631836, 2.0611019134521484, 2.099785327911377, 2.1054422855377197, 2.0532546043395996], 'val_top_2_accuracy': [0.5202999711036682, 0.5485000014305115, 0.511900007724762, 0.569100022315979, 0.5874000191688538, 0.5763000249862671, 0.5889000296592712, 0.553600013256073, 0.5746999979019165, 0.565500020980835, 0.5842000246047974, 0.5996999740600586, 0.600600004196167, 0.5860000252723694, 0.6044999957084656]}"
1,64,l1,0.5,0.3452000021934509,0.5591999888420105,"{'accuracy': [0.2627499997615814, 0.2903999984264374, 0.29797500371932983, 0.29907500743865967, 0.3012000024318695, 0.30687499046325684, 0.305400013923645, 0.3097749948501587, 0.30777499079704285, 0.30812498927116394, 0.30979999899864197, 0.31062498688697815, 0.3092249929904938, 0.3068999946117401, 0.3130500018596649], 'loss': [4.709692001342773, 2.548344612121582, 2.3689277172088623, 2.3208649158477783, 2.2968430519104004, 2.280595064163208, 2.269132137298584, 2.2635715007781982, 2.2625112533569336, 2.267564535140991, 2.2561094760894775, 2.254960775375366, 2.253927230834961, 2.254408121109009, 2.251746416091919], 'top_2_accuracy': [0.4440250098705292, 0.4786750078201294, 0.49012500047683716, 0.49432501196861267, 0.4979749917984009, 0.5037500262260437, 0.500124990940094, 0.5077250003814697, 0.506850004196167, 0.5031999945640564, 0.507224977016449, 0.5076500177383423, 0.5062000155448914, 0.5038999915122986, 0.5079249739646912], 'val_accuracy': [0.32359999418258667, 0.3140000104904175, 0.3215999901294708, 0.33550000190734863, 0.35359999537467957, 0.33559998869895935, 0.33379998803138733, 0.35409998893737793, 0.36079999804496765, 0.3422999978065491, 0.33410000801086426, 0.36000001430511475, 0.35019999742507935, 0.3517000079154968, 0.3452000021934509], 'val_loss': [2.8189334869384766, 2.358429431915283, 2.3216187953948975, 2.2773311138153076, 2.20090913772583, 2.2037734985351562, 2.214066743850708, 2.163423538208008, 2.1599860191345215, 2.18365216255188, 2.188981533050537, 2.1370327472686768, 2.1837141513824463, 2.168940544128418, 2.1542749404907227], 'val_top_2_accuracy': [0.5209000110626221, 0.5116000175476074, 0.5273000001907349, 0.536899983882904, 0.5519999861717224, 0.5504999756813049, 0.54339998960495, 0.5692999958992004, 0.5651000142097473, 0.5511000156402588, 0.545799970626831, 0.5766000151634216, 0.5485000014305115, 0.5627999901771545, 0.5591999888420105]}"
1,64,l2,0.0,0.4810999929904938,0.6977999806404114,"{'accuracy': [0.34815001487731934, 0.4306749999523163, 0.4629499912261963, 0.4827750027179718, 0.4977000057697296, 0.5114250183105469, 0.5191749930381775, 0.5252749919891357, 0.5297250151634216, 0.5321999788284302, 0.5348250269889832, 0.5408999919891357, 0.5426750183105469, 0.54544997215271, 0.5470749735832214], 'loss': [2.265848159790039, 1.8389478921890259, 1.6898342370986938, 1.6099640130996704, 1.5605889558792114, 1.5275667905807495, 1.5056811571121216, 1.4883254766464233, 1.4765535593032837, 1.4665981531143188, 1.4541056156158447, 1.447722315788269, 1.4409018754959106, 1.437986135482788, 1.4351511001586914], 'top_2_accuracy': [0.5378000140190125, 0.6276500225067139, 0.6610249876976013, 0.6847500205039978, 0.6981250047683716, 0.7091749906539917, 0.714775025844574, 0.7244750261306763, 0.7269750237464905, 0.7307000160217285, 0.7343500256538391, 0.736175000667572, 0.7388499975204468, 0.7434250116348267, 0.7424499988555908], 'val_accuracy': [0.3702999949455261, 0.4092000126838684, 0.41769999265670776, 0.4424000084400177, 0.4603999853134155, 0.4666000008583069, 0.4553999900817871, 0.46070000529289246, 0.489300012588501, 0.46540001034736633, 0.4839000105857849, 0.4781999886035919, 0.48429998755455017, 0.47279998660087585, 0.4810999929904938], 'val_loss': [2.027639389038086, 1.8620917797088623, 1.847535490989685, 1.7449121475219727, 1.6942830085754395, 1.6469533443450928, 1.6871808767318726, 1.6760492324829102, 1.6067925691604614, 1.6600497961044312, 1.6394526958465576, 1.6282421350479126, 1.6351985931396484, 1.7042282819747925, 1.6420093774795532], 'val_top_2_accuracy': [0.578000009059906, 0.6233999729156494, 0.630299985408783, 0.6502000093460083, 0.6603000164031982, 0.6740999817848206, 0.6758000254631042, 0.6638000011444092, 0.6924999952316284, 0.6721000075340271, 0.6884999871253967, 0.6823999881744385, 0.6898999810218811, 0.6782000064849854, 0.6977999806404114]}"
1,64,l2,0.3,0.45559999346733093,0.6722000241279602,"{'accuracy': [0.3012999892234802, 0.36527499556541443, 0.4015749990940094, 0.4188250005245209, 0.42912501096725464, 0.43712499737739563, 0.44029998779296875, 0.4410249888896942, 0.4468500018119812, 0.4505000114440918, 0.45182499289512634, 0.4544749855995178, 0.4531500041484833, 0.4544999897480011, 0.4557499885559082], 'loss': [2.377248525619507, 1.9780588150024414, 1.823754072189331, 1.759257435798645, 1.7177456617355347, 1.6943578720092773, 1.6770875453948975, 1.6734585762023926, 1.6611131429672241, 1.656419277191162, 1.6494219303131104, 1.647992730140686, 1.644088864326477, 1.6401958465576172, 1.6362653970718384], 'top_2_accuracy': [0.48330000042915344, 0.5642750263214111, 0.6047499775886536, 0.6229000091552734, 0.6351249814033508, 0.6388750076293945, 0.6468499898910522, 0.6510999798774719, 0.6519500017166138, 0.6548500061035156, 0.6578750014305115, 0.656000018119812, 0.6575499773025513, 0.6616250276565552, 0.6599500179290771], 'val_accuracy': [0.3747999966144562, 0.4049000144004822, 0.4348999857902527, 0.4339999854564667, 0.44519999623298645, 0.4458000063896179, 0.446399986743927, 0.46219998598098755, 0.46160000562667847, 0.4699000120162964, 0.47130000591278076, 0.45350000262260437, 0.45680001378059387, 0.4641000032424927, 0.45559999346733093], 'val_loss': [1.988737940788269, 1.8088980913162231, 1.693557620048523, 1.6961486339569092, 1.6578785181045532, 1.6926437616348267, 1.6368083953857422, 1.6161161661148071, 1.6076959371566772, 1.604506254196167, 1.5786031484603882, 1.6112964153289795, 1.6142358779907227, 1.6198067665100098, 1.646294355392456], 'val_top_2_accuracy': [0.5674999952316284, 0.6057999730110168, 0.6489999890327454, 0.6413000226020813, 0.6600000262260437, 0.6478000283241272, 0.6638000011444092, 0.6780999898910522, 0.6779999732971191, 0.6765999794006348, 0.6924999952316284, 0.6735000014305115, 0.6728000044822693, 0.6671000123023987, 0.6722000241279602]}"
1,64,l2,0.5,0.4487000107765198,0.6568999886512756,"{'accuracy': [0.2643750011920929, 0.32712501287460327, 0.3554750084877014, 0.37450000643730164, 0.3833500146865845, 0.38557499647140503, 0.39399999380111694, 0.3903999924659729, 0.39652499556541443, 0.395550012588501, 0.39719998836517334, 0.3944750130176544, 0.4031499922275543, 0.4027250111103058, 0.40312498807907104], 'loss': [2.579716682434082, 2.1047606468200684, 1.9344890117645264, 1.8703912496566772, 1.8314520120620728, 1.8085713386535645, 1.7937119007110596, 1.7857977151870728, 1.780415654182434, 1.7787234783172607, 1.767783761024475, 1.7687638998031616, 1.7636767625808716, 1.764481782913208, 1.760987639427185], 'top_2_accuracy': [0.4429750144481659, 0.524150013923645, 0.5584999918937683, 0.5785999894142151, 0.5872250199317932, 0.5940499901771545, 0.5978500247001648, 0.5986499786376953, 0.6064000129699707, 0.6011750102043152, 0.6054750084877014, 0.6036249995231628, 0.6072250008583069, 0.60732501745224, 0.6093000173568726], 'val_accuracy': [0.366100013256073, 0.39559999108314514, 0.41920000314712524, 0.4401000142097473, 0.40610000491142273, 0.43950000405311584, 0.4277999997138977, 0.43630000948905945, 0.44429999589920044, 0.4544000029563904, 0.42669999599456787, 0.4562999904155731, 0.44290000200271606, 0.44119998812675476, 0.4487000107765198], 'val_loss': [1.955257773399353, 1.8293853998184204, 1.744418740272522, 1.7046760320663452, 1.7838730812072754, 1.6679792404174805, 1.6872010231018066, 1.6669443845748901, 1.6512720584869385, 1.6447478532791138, 1.674478530883789, 1.6382383108139038, 1.6485261917114258, 1.6563291549682617, 1.6504396200180054], 'val_top_2_accuracy': [0.5709999799728394, 0.6062999963760376, 0.6335999965667725, 0.6478000283241272, 0.6118999719619751, 0.6510999798774719, 0.6438000202178955, 0.6539000272750854, 0.6596999764442444, 0.6600000262260437, 0.642799973487854, 0.6610999703407288, 0.6590999960899353, 0.6559000015258789, 0.6568999886512756]}"
1,128,,0.0,0.4771000146865845,0.6783999800682068,"{'accuracy': [0.35190001130104065, 0.4404999911785126, 0.48247501254081726, 0.5136749744415283, 0.5345749855041504, 0.5555499792098999, 0.5725749731063843, 0.5890250205993652, 0.599524974822998, 0.6099249720573425, 0.6210500001907349, 0.6331250071525574, 0.6434500217437744, 0.6520500183105469, 0.663224995136261], 'loss': [2.3516347408294678, 1.7455304861068726, 1.532699465751648, 1.4103058576583862, 1.3366856575012207, 1.283612847328186, 1.2328555583953857, 1.192692518234253, 1.1585793495178223, 1.1227829456329346, 1.0916802883148193, 1.0583456754684448, 1.0357869863510132, 1.008833646774292, 0.9819507002830505], 'top_2_accuracy': [0.5428249835968018, 0.6404500007629395, 0.682325005531311, 0.7125750184059143, 0.7324000000953674, 0.7492250204086304, 0.762624979019165, 0.7736999988555908, 0.7840250134468079, 0.7961750030517578, 0.8028249740600586, 0.8118249773979187, 0.8195000290870667, 0.8274999856948853, 0.8312000036239624], 'val_accuracy': [0.37310001254081726, 0.4514000117778778, 0.4424000084400177, 0.44200000166893005, 0.4666999876499176, 0.47940000891685486, 0.4749000072479248, 0.4745999872684479, 0.48500001430511475, 0.4887999892234802, 0.4968000054359436, 0.4927000105381012, 0.48980000615119934, 0.4896000027656555, 0.4771000146865845], 'val_loss': [2.003978729248047, 1.6254950761795044, 1.6607697010040283, 1.6824824810028076, 1.6270095109939575, 1.5479484796524048, 1.573335886001587, 1.5959564447402954, 1.5730834007263184, 1.5574489831924438, 1.5624263286590576, 1.581307291984558, 1.5812039375305176, 1.6720482110977173, 1.8105312585830688], 'val_top_2_accuracy': [0.5819000005722046, 0.6621000170707703, 0.6437000036239624, 0.6589999794960022, 0.6628000140190125, 0.6872000098228455, 0.6800000071525574, 0.6887999773025513, 0.6879000067710876, 0.6974999904632568, 0.6980999708175659, 0.7014999985694885, 0.6987000107765198, 0.6924999952316284, 0.6783999800682068]}"
